"Question","Answer","Category","Group","Percentage"
"Are you:","Asian","Children","Has Children",2
"Are you:","Asian","Children","No Children",4
"Are you:","Asian","Sexual Orientation","Straight",2
"Are you:","Asian","Sexual Orientation","Gay/Bisexual",4
"Are you:","Other","All Men",NA,5
"Are you:","Other","Age","18-34",7
"Are you:","Other","Age","35-64",5
"Are you:","Other","Age","65+",3
"Are you:","Other","Race","White",0
"Are you:","Other","Race","Non-White",16
"Are you:","Other","Children","Has Children",6
"Are you:","Other","Children","No Children",4
"Are you:","Other","Sexual Orientation","Straight",5
"Are you:","Other","Sexual Orientation","Gay/Bisexual",6
"What is the last grade of school you completed?","Did not complete high school","All Men",NA,4
"What is the last grade of school you completed?","Did not complete high school","Age","18-34",3
"What is the last grade of school you completed?","Did not complete high school","Age","35-64",4
"What is the last grade of school you completed?","Did not complete high school","Age","65+",5
"What is the last grade of school you completed?","Did not complete high school","Race","White",4
"What is the last grade of school you completed?","Did not complete high school","Race","Non-White",5
"What is the last grade of school you completed?","Did not complete high school","Children","Has Children",6
"What is the last grade of school you completed?","Did not complete high school","Children","No Children",2
"What is the last grade of school you completed?","Did not complete high school","Sexual Orientation","Straight",4
"What is the last grade of school you completed?","Did not complete high school","Sexual Orientation","Gay/Bisexual",0
"What is the last grade of school you completed?","High school or G.E.D.","All Men",NA,36
"What is the last grade of school you completed?","High school or G.E.D.","Age","18-34",46
"What is the last grade of school you completed?","High school or G.E.D.","Age","35-64",35
"What is the last grade of school you completed?","High school or G.E.D.","Age","65+",23
"What is the last grade of school you completed?","High school or G.E.D.","Race","White",35
"What is the last grade of school you completed?","High school or G.E.D.","Race","Non-White",39
"What is the last grade of school you completed?","High school or G.E.D.","Children","Has Children",32
"What is the last grade of school you completed?","High school or G.E.D.","Children","No Children",40
"What is the last grade of school you completed?","High school or G.E.D.","Sexual Orientation","Straight",36
"What is the last grade of school you completed?","High school or G.E.D.","Sexual Orientation","Gay/Bisexual",27
"What is the last grade of school you completed?","Associate's degree","All Men",NA,9
"What is the last grade of school you completed?","Associate's degree","Age","18-34",5
"What is the last grade of school you completed?","Associate's degree","Age","35-64",12
"What is the last grade of school you completed?","Associate's degree","Age","65+",9
"What is the last grade of school you completed?","Associate's degree","Race","White",10
"What is the last grade of school you completed?","Associate's degree","Race","Non-White",9
"What is the last grade of school you completed?","Associate's degree","Children","Has Children",11
"What is the last grade of school you completed?","Associate's degree","Children","No Children",8
"What is the last grade of school you completed?","Associate's degree","Sexual Orientation","Straight",10
"What is the last grade of school you completed?","Associate's degree","Sexual Orientation","Gay/Bisexual",5
"What is the last grade of school you completed?","Some college","All Men",NA,21
"What is the last grade of school you completed?","Some college","Age","18-34",21
"What is the last grade of school you completed?","Some college","Age","35-64",21
"What is the last grade of school you completed?","Some college","Age","65+",22
"What is the last grade of school you completed?","Some college","Race","White",21
"What is the last grade of school you completed?","Some college","Race","Non-White",23
"What is the last grade of school you completed?","Some college","Children","Has Children",21
"What is the last grade of school you completed?","Some college","Children","No Children",22
"What is the last grade of school you completed?","Some college","Sexual Orientation","Straight",20
"What is the last grade of school you completed?","Some college","Sexual Orientation","Gay/Bisexual",31
"What is the last grade of school you completed?","College graduate","All Men",NA,27
"What is the last grade of school you completed?","College graduate","Age","18-34",25
"What is the last grade of school you completed?","College graduate","Age","35-64",25
"What is the last grade of school you completed?","College graduate","Age","65+",35
"What is the last grade of school you completed?","College graduate","Race","White",29
"What is the last grade of school you completed?","College graduate","Race","Non-White",23
